key,description,am (Amharic),ar (Arabic),bg (Bulgarian),bn (Bengali),bn_BD (Bengali (Bangladesh)),bs (Bosnian),ca (Catalan),cs (Czech),cy (Welsh),da (Danish),de (German),en (English),es (Spanish),es_419 (Spanish (Latin America)),et (Estonian),eu (Basque),fa (Persian),fi (Finnish),fo (Faroese),fr (French),ga (Irish),gl (Galician),ha (Hausa),he (Hebrew),hi (Hindi),hr (Croatian),hu (Hungarian),id (Indonesian),is (Icelandic),it (Italian),ja (Japanese),ko (Korean),lt (Lithuanian),lv (Latvian),mk (Macedonian),ms (Malay),mt (Maltese),nl (Dutch),no (Norwegian),pl (Polish),pt (Portuguese),pt_BR (Portuguese (Brazil)),ro (Romanian),ru (Russian),sk (Slovak),sl (Slovenian),sq (Albanian),sr (Serbian),sv (Swedish),th (Thai),tr (Turkish),uk (Ukrainian),ur (Urdu),vi (Vietnamese),zh (Chinese (Simplified)),zh_Hant (Chinese (Traditional))
noPermissionForBroadcast,Translation key: noPermissionForBroadcast,ስርጭት መፈቀድ የለም,لا يوجد إذن للبث,Няма разрешение за излъчване,আপনার সম্প্রচার বার্তা তৈরি করার অনুমতি নেই।,সম্প্রচারের অনুমতি নেই,[BS] No permission for broadcast,Sense permís per difusió,Žádné oprávnění k vysílání,[CY] No permission for broadcast,[DA] No permission for broadcast,Keine Berechtigung für Rundsendung,No permission for broadcast,Sin permiso para difusión,[ES_419] No permission for broadcast,[ET] No permission for broadcast,[EU] No permission for broadcast,شما مجاز به ایجاد پیام‌های پخش نیستید.,Ei lupaa lähetykseen,No permission for broadcast,Aucune permission pour la diffusion,Gan cead le craoladh,[GL] No permission for broadcast,Ba ku da izini don ƙirƙirar saƙonnin faɗaɗa.,אין הרשאה לשידור,आपके पास प्रसारण संदेश बनाने की अनुमति नहीं है।,Nema dozvole za emitiranje,[HU] No permission for broadcast,[ID] No permission for broadcast,[IS] No permission for broadcast,[IT] No permission for broadcast,放送権限がありません,[KO] No permission for broadcast,[LT] No permission for broadcast,[LV] No permission for broadcast,[MK] No permission for broadcast,Tiada kebenaran siaran,[MT] No permission for broadcast,[NL] No permission for broadcast,[NO] No permission for broadcast,Brak uprawnień do broadcast,[PT] No permission for broadcast,Sem permissão de transmissão,Fără permisiune pentru broadcast,Нет разрешения на трансляцию,Žiadne oprávnenie na vysielanie,Ni dovoljenja za oddajanje,[SQ] No permission for broadcast,[SR] No permission for broadcast,[SV] No permission for broadcast,ไม่มีสิทธิ์ออกอากาศ,Yayın izni yok,Немає дозволу на трансляцію,آپ کو نشریاتی پیغامات بنانے کی اجازت نہیں ہے۔,Không có quyền phát sóng,无广播权限,您無權建立廣播訊息。
noProfileFound,Translation key: noProfileFound,መገለጫ አልተገኘም,لم يتم العثور على ملف شخصي,Не е намерен профил,কোনো প্রোফাইল পাওয়া যায়নি,কোনও প্রোফাইল পাওয়া যায়নি,[BS] No profile found,[CA] No profile found,[CS] No profile found,[CY] No profile found,[DA] No profile found,Kein Profil gefunden,No profile found,No se encontró perfil,[ES_419] No profile found,[ET] No profile found,[EU] No profile found,پروفایلی یافت نشد,[FI] No profile found,No profile found,Aucun profil trouvé,[GA] No profile found,[GL] No profile found,Ba a sami bayani ba,לא נמצא פרופיל,कोई प्रोफ़ाइल नहीं मिली,[HR] No profile found,[HU] No profile found,[ID] No profile found,Ekkert prófíl fannst,[IT] No profile found,プロフィールが見つかりません,[KO] No profile found,[LT] No profile found,[LV] No profile found,[MK] No profile found,[MS] No profile found,[MT] No profile found,[NL] No profile found,[NO] No profile found,[PL] No profile found,[PT] No profile found,[PT_BR] No profile found,[RO] No profile found,Профиль не найден,[SK] No profile found,[SL] No profile found,[SQ] No profile found,[SR] No profile found,[SV] No profile found,ไม่พบโปรไฟล์,[TR] No profile found,Профіль не знайдено,کوئی پروفائل نہیں ملی,Không tìm thấy hồ sơ,未找到资料,找不到個人資料
noProviders,Translation key: noProviders,,,,,,,,,,,,No providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noProvidersFoundAddYourFirstProvider,Translation key: noProvidersFoundAddYourFirstProvider,,,,,,,,,,,,No providers found. Add your first provider!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noQuestionsAdded,Translation key: noQuestionsAdded,,,,,,,,,,,,No questions added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noResults,Translation key: noResults,ውጤቶች የሉም,لا توجد نتائج,Няма резултати,কোনো ফলাফল নেই,কোনও ফলাফল নেই,[BS] No results found,[CA] No results found,Žádné výsledky,Dim canlyniadau,[DA] No results found,Keine Ergebnisse,No results found,Sin resultados,[ES_419] No results found,Tulemusi ei leitud,Emaitzarik ez,بدون نتیجه,Ei tuloksia,No results found,Aucun résultat,[GA] No results found,[GL] No results found,No results found,אין תוצאות,कोई परिणाम नहीं,[HR] No results found,[HU] No results found,Tidak ada hasil,[IS] No results found,[IT] No results found,結果なし,결과 없음,[LT] No results found,[LV] No results found,[MK] No results found,Tiada hasil,[MT] No results found,[NL] No results found,[NO] No results found,Brak wyników,Sem resultados,Nenhum resultado,[RO] No results found,Нет результатов,Žiadne výsledky,[SL] No results found,[SQ] No results found,[SR] No results found,[SV] No results found,ไม่มีผลลัพธ์,[TR] No results found,Немає результатів,No results found,Không có kết quả,暂无结果,No results found
noRoomsFoundAddYourFirstRoom,Translation key: noRoomsFoundAddYourFirstRoom,,,,,,,,,,,,No rooms found. Add your first room!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noRouteDefined,Translation key: noRouteDefined,noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),,,No hay ruta definida,noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),مسیری برای {route} تعریف نشده است,noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),Aucune route définie,noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),Ba a ƙayyade hanya ba don {route},noRouteDefined (TRANSLATE),{route} के लिए कोई रूट परिभाषित नहीं है,noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),{route} کے لیے کوئی راستہ متعین نہیں,noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE),noRouteDefined (TRANSLATE)
noRouteDefinedForSettingsname,Translation key: noRouteDefinedForSettingsname,,,,,,,,,,,,No route defined for {settings_name},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noRouteDefinedForStateuripath,Translation key: noRouteDefinedForStateuripath,,,,,,,,,,,,No route defined for {state_uri_path},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noSessionsYet,Translation key: noSessionsYet,እስካሁን ስብሰባዎች የሉም,لا توجد جلسات بعد,Все още няма сесии,এখনও কোন সেশন নেই,এখনও কোনও সেশন নেই,[BS] No sessions yet,[CA] No sessions yet,[CS] No sessions yet,[CY] No sessions yet,[DA] No sessions yet,[DE] No sessions yet,No sessions yet,[ES] No sessions yet,[ES_419] No sessions yet,[ET] No sessions yet,[EU] No sessions yet,هنوز جلسه‌ای برگزار نشده,[FI] No sessions yet,No sessions yet,[FR] No sessions yet,Níl seisiún ann fós,[GL] No sessions yet,No sessions yet,טרם התקיימו מפגשים,अभी तक कोई सत्र नहीं,Još nema sesija,[HU] No sessions yet,Belum ada sesi,Engar lotur enn,[IT] No sessions yet,まだセッションがありません,아직 세션이 없습니다,[LT] No sessions yet,[LV] No sessions yet,[MK] No sessions yet,Tiada sesi lagi,[MT] No sessions yet,Nog geen sessies,[NO] No sessions yet,Brak sesji,[PT] No sessions yet,[PT_BR] No sessions yet,Încă nu există sesiuni,Сессий пока нет,Žiadne relácie,Še ni sej,[SQ] No sessions yet,[SR] No sessions yet,[SV] No sessions yet,ยังไม่มีเซสชัน,Henüz oturum yok,Сесій поки що немає,No sessions yet,Chưa có phiên,暂无会话,No sessions yet
noSlots,Translation key: noSlots,,,,,,,,,,,,No slots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noTicketsYet,Translation key: noTicketsYet,,,,,,,,,,,,No tickets yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noTimeSeriesDataAvailable,Translation key: noTimeSeriesDataAvailable,,,,,,,,,,,,No time series data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noUpcomingBookings,Translation key: noUpcomingBookings,,,,,,,,,,,,No upcoming bookings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noUsers,Translation key: noUsers,noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),,No users,Sin usuarios,noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),کاربری وجود ندارد,noUsers (TRANSLATE),noUsers (TRANSLATE),Aucun utilisateur,noUsers (TRANSLATE),noUsers (TRANSLATE),Babu masu amfani,noUsers (TRANSLATE),कोई उपयोगकर्ता नहीं,noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE),کوئی صارف نہیں,noUsers (TRANSLATE),noUsers (TRANSLATE),noUsers (TRANSLATE)
none,Translation key: none,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notAuthenticated,Translation key: notAuthenticated,,,,,,,,,,,,Not authenticated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notificationSettings,Translation key: notificationSettings,የማሳወቂያ ቅንብሮች,إعدادات الإشعارات,Настройки на известия,নোটিফিকেশন সেটিংস,নোটিফিকেশন সেটিংস,[BS] Notification Settings,[CA] Notification Settings,Nastavení oznámení,[CY] Notification Settings,[DA] Notification Settings,Benachrichtigungseinstellungen,Notification Settings,Configuración de notificaciones,[ES_419] Notification Settings,Teavituste seaded,[EU] Notification Settings,تنظیمات اعلان,Ilmoitusasetukset,Notification Settings,Paramètres de notification,[GA] Notification Settings,[GL] Notification Settings,Saitunan sanarwa,הגדרות התראות,अधिसूचना सेटिंग्स,Postavke obavijesti,Értesítési beállítások,[ID] Notification Settings,[IS] Notification Settings,[IT] Notification Settings,通知設定,알림 설정,[LT] Notification Settings,[LV] Notification Settings,[MK] Notification Settings,Tetapan pemberitahuan,[MT] Notification Settings,[NL] Notification Settings,[NO] Notification Settings,Ustawienia powiadomień,[PT] Notification Settings,[PT_BR] Notification Settings,Setări notificări,Настройки уведомлений,[SK] Notification Settings,Nastavitve obvestil,[SQ] Notification Settings,[SR] Notification Settings,[SV] Notification Settings,การตั้งค่าการแจ้งเตือน,Bildirim ayarları,Налаштування сповіщень,اطلاع کی ترتیبات,Cài đặt thông báo,通知设置,通知設定
notifications,Translation key: notifications,ማሳወቂያዎች,الإشعارات,Известия,নোটিফিকেশন,বিজ্ঞপ্তি,[BS] Notifications,[CA] Notifications,[CS] Notifications,[CY] Notifications,[DA] Notifications,Benachrichtigungen,Notifications,Notificaciones,[ES_419] Notifications,[ET] Notifications,[EU] Notifications,اعلان‌ها,Ilmoitukset,Boð,Notifications,Fógraí,[GL] Notifications,Sanarwa,התראות,सूचनाएं,Obavijesti,Értesítések,Notifikasi,[IS] Notifications,[IT] Notifications,通知,알림,[LT] Notifications,Paziņojumi,[MK] Notifications,Pemberitahuan,[MT] Notifications,[NL] Notifications,Varsler,Powiadomienia,[PT] Notifications,Notificações,Notificări,Уведомления,[SK] Notifications,Obvestila,[SQ] Notifications,[SR] Notifications,[SV] Notifications,การแจ้งเตือน,Bildirimler,Сповіщення,اطلاعات,Thông báo,通知,通知
notifications1,Translation key: notifications1,,,,,,,,,,,,Notifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,Translation key: ok,እሺ,حسناً,Добре,ঠিক আছে,ঠিক আছে,[BS] OK,[CA] OK,OK,Iawn,OK,OK,OK,OK,[ES_419] OK,OK,Ados,باشه,OK,Í lagi,OK,[GA] OK,[GL] OK,OK,אישור,ठीक है,U redu,Rendben,Oke,Í lagi,OK,OK,확인,[LT] OK,[LV] OK,[MK] OK,OK,[MT] OK,Oké,OK,OK,OK,OK,OK,ОК,OK,V redu,[SQ] OK,[SR] OK,OK,ตกลง,Tamam,Гаразд,OK,OK,确定,OK
onboardingScreen,Translation key: onboardingScreen,,,,,,,,,,,,Onboarding Screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opened,Translation key: opened,ተከፈተ,مفتوح,Отворено,খোলা,খোলা হয়েছে,[BS] Opened,Obert,Otevřeno,[CY] Opened,Åbnet,Geöffnet,Opened: {count},Abierto,[ES_419] Opened,[ET] Opened,Ireki da,باز شده: {count},[FI] Opened,Opnað,Ouvert,Oscailte,[GL] Opened,An buɗe: {count},נפתח,खोला गया: {count},[HR] Opened,Megnyitva,Dibuka,Opnað,[IT] Opened,開きました,열림,[LT] Opened,[LV] Opened,[MK] Opened,Dibuka,[MT] Opened,Geopend,Åpnet,Otwarte,[PT] Opened,[PT_BR] Opened,Deschis,Открыто,[SK] Opened,[SL] Opened,[SQ] Opened,[SR] Opened,Öppnad,เปิดแล้ว,Açıldı,Відкрито,کھولا گیا: {count},Đã mở,已打开,已開啟：{count}
openingCustomerPortal,Translation key: openingCustomerPortal,,,,,,,,,,,,Opening customer portal...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
option,Translation key: option,,,,,,,,,,,,• $option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organizations,Translation key: organizations,organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),,Organizations,Organizaciones,organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),سازمان‌ها,organizations (TRANSLATE),organizations (TRANSLATE),Organisations,organizations (TRANSLATE),organizations (TRANSLATE),Ƙungiyoyi,organizations (TRANSLATE),संगठन,organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE),تنظیمیں,organizations (TRANSLATE),organizations (TRANSLATE),organizations (TRANSLATE)
orgmemberidslengthMembers,Translation key: orgmemberidslengthMembers,,,,,,,,,,,,{org_memberIds_length} members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otpResentSuccessfully,Translation key: otpResentSuccessfully,OTP በትክክል ተልኳል,تم إعادة إرسال رمز التحقق,Кодът беше изпратен отново успешно,OTP সফলভাবে পুনরায় পাঠানো হয়েছে!,OTP সফলভাবে পুনরায় পাঠানো হয়েছে,[BS] OTP resent successfully,[CA] OTP resent successfully,[CS] OTP resent successfully,[CY] OTP resent successfully,OTP gensendt med succes,OTP erfolgreich erneut gesendet,OTP resent successfully,OTP reenviado exitosamente,[ES_419] OTP resent successfully,OTP saadeti uuesti edukalt,OTP berriro bidali da,کد OTP با موفقیت دوباره ارسال شد!,[FI] OTP resent successfully,OTP aftur sent,OTP renvoyé avec succès,[GA] OTP resent successfully,[GL] OTP resent successfully,An sake aika OTP cikin nasara!,OTP נשלח מחדש בהצלחה,ओटीपी सफलतापूर्वक पुनः भेजा गया!,[HR] OTP resent successfully,OTP sikeresen újraküldve,OTP berhasil dikirim ulang,OTP endursent með góðum árangri,[IT] OTP resent successfully,OTPが正常に再送信されました,[KO] OTP resent successfully,[LT] OTP resent successfully,OTP veiksmīgi pārsūtīts!,[MK] OTP resent successfully,OTP berjaya dihantar semula,[MT] OTP resent successfully,[NL] OTP resent successfully,OTP sendt på nytt vellykket,[PL] OTP resent successfully,[PT] OTP resent successfully,OTP reenviado com sucesso,OTP retrimis cu succes,OTP успешно отправлен повторно,OTP úspešne odoslané znova,[SL] OTP resent successfully,[SQ] OTP resent successfully,[SR] OTP resent successfully,[SV] OTP resent successfully,ส่ง OTP ใหม่สำเร็จ,OTP başarıyla yeniden gönderildi,OTP успішно надіслано повторно,او ٹی پی کامیابی سے دوبارہ بھیجا گیا!,Gửi lại OTP thành công,OTP 重发成功,OTP 已重新發送成功！
